,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
528609,101001325486,03/05/2015 07:35:26 PM,03/13/2015 08:30:00 AM,03/07/2015 09:59:26 AM,ONTIME,Closed,Case Closed Case Noted referred over to boston housing authority,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,INFO_Reallocation From Dept,INFO,https://mayors24.cityofboston.gov/media/boston/report/photos/54f8f64304854301ed493b8d/report.jpg,,INTERSECTION of Monsignor Reynolds Ct & Monsignor Reynolds Way  Roxbury  MA,4.0,1C,2.0,D4,South End,6.0,Ward 8,801.0,,INTERSECTION Monsignor Reynolds Ct & Monsignor Reynolds Way,,Intersection,6256.0,42.3403,-71.0694,Citizens Connect App,"(42.3403, -71.0694)"
528655,101001325544,03/05/2015 10:33:38 PM,03/13/2015 08:30:00 AM,03/09/2015 10:21:45 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,PWDx_District 08: Hyde Park,PWDx,,,1344 Hyde Park Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1818.0,EA,1344 Hyde Park Ave,2136.0,Address,77108.0,42.2517,-71.1248,Citizens Connect App,"(42.2517, -71.1248)"
528667,101001325562,03/06/2015 03:12:02 AM,03/13/2015 08:30:00 AM,03/06/2015 04:45:55 AM,ONTIME,Closed,Case Closed Case Invalid,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,ANML02_LostFound,ANML,https://mayors24.cityofboston.gov/media/boston/report/photos/54f9614a04854301ed493ec1/report.jpg,,1 City Hall Plz  Boston  MA  02108,3.0,1B,1.0,A1,Downtown / Financial District,3.0,03,306.0,E,1 City Hall Plz,2108.0,Address,32856.0,42.3604,-71.0583,Citizens Connect App,"(42.3604, -71.0583)"
528693,101001325603,03/06/2015 07:47:33 AM,03/13/2015 08:30:00 AM,03/07/2015 09:35:10 AM,ONTIME,Closed,Case Closed Case Noted referred to public works for snow removal,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,PWDx_District 10A: Roxbury,PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/54f9a1dd04854301ed494011/report.jpg,,535 Columbus Ave  Roxbury  MA  02118,4.0,1C,7.0,D4,South End,6.0,Ward 4,404.0,CC,535 Columbus Ave,2118.0,Address,35904.0,42.3419,-71.0806,Citizens Connect App,"(42.3419, -71.0806)"
528782,101001325751,03/06/2015 09:18:22 AM,03/13/2015 09:18:22 AM,03/09/2015 08:57:13 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,PWDx_District 1B: North End,PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/54f9b72404854301ed4941a9/report.jpg,,21 Charter St  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,301.0,A,21 Charter St,2113.0,Address,29954.0,42.3666,-71.0534,Citizens Connect App,"(42.3666, -71.0534)"
528920,101001325942,03/06/2015 11:10:34 AM,03/13/2015 11:10:34 AM,03/07/2015 09:45:35 AM,ONTIME,Closed,Case Closed Case Noted referred to publicbworks for snow removal,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,PWDx_District 1C: Downtown,PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/54f9d17304854301ed494356/report.jpg,,INTERSECTION of Albemarle St & Saint Botolph St  Boston  MA,4.0,1C,7.0,D4,Back Bay,14.0,Ward 4,405.0,,INTERSECTION Albemarle St & Saint Botolph St,,Intersection,220.0,42.3427,-71.0835,Citizens Connect App,"(42.3427, -71.0835)"
529065,101001326159,03/06/2015 01:56:50 PM,03/13/2015 01:56:50 PM,03/12/2015 08:17:30 AM,ONTIME,Closed,Case Closed Case Noted case referred to parks dept,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,PARK_Administration,PARK,https://mayors24.cityofboston.gov/media/boston/report/photos/54f9f86a04854301ed494530/report.jpg,,200 North St  Boston  MA  02113,3.0,1B,1.0,A1,Boston,3.0,3,303.0,,200 North St,2113.0,Address,342582.0,42.3594,-71.0587,Citizens Connect App,"(0, 0)"
529108,101001326230,03/06/2015 02:39:57 PM,03/13/2015 02:39:57 PM,03/09/2015 10:20:16 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,PWDx_District 05: South Boston,PWDx,,,112 H St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,606.0,R3,112 H St,2127.0,Address,67785.0,42.3339,-71.0413,Constituent Call,"(42.3339, -71.0413)"
529242,101001326439,03/06/2015 06:00:22 PM,03/16/2015 08:30:00 AM,03/07/2015 09:56:41 AM,ONTIME,Closed,Case Closed Case Noted referred to parks dept,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,PARK_Maintenance_Ground Maintenance,PARK,https://mayors24.cityofboston.gov/media/boston/report/photos/54fa317a04854301ed494813/report.jpg,,10 Ringgold St  Roxbury  MA  02118,4.0,1C,2.0,D4,Roxbury,4.0,3,307.0,,10 Ringgold St,2118.0,Address,342013.0,42.3594,-71.0587,Citizens Connect App,"(0, 0)"
529296,101001326543,03/07/2015 12:10:44 AM,03/16/2015 08:30:00 AM,03/07/2015 09:46:33 AM,ONTIME,Closed,Case Closed Case Noted referred to parks dept,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,PARK_Maintenance_Ground Maintenance,PARK,https://mayors24.cityofboston.gov/media/boston/report/photos/54fa884a04854301ed494aef/report.jpg,,114 Worcester St  Roxbury  MA  02118,4.0,1C,7.0,D4,South End,6.0,Ward 4,404.0,,114 Worcester St,2118.0,Address,171990.0,42.3406,-71.0797,Citizens Connect App,"(42.3406, -71.0797)"
