,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
621743,101001546710,09/01/2015 01:42:00 PM,10/01/2015 01:42:48 PM,09/04/2015 09:45:20 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-04 09:45:20.033 NOVIO: No Violation Found/No Cause,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,308 Congress St  Boston  MA  02210,6.0,05,2.0,C6,Boston,5.0,06,601.0,,308 Congress St,2210.0,Address,163839.0,42.352,-71.0498,Self Service,"(42.352, -71.0498)"
622646,101001547908,09/02/2015 11:15:38 AM,10/02/2015 11:15:38 AM,,OVERDUE,Open,,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,174 Saint Alphonsus St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1003.0,R3,174 Saint Alphonsus St,2120.0,Address,120525.0,42.3313,-71.1022,Constituent Call,"(42.3313, -71.1022)"
622654,101001547918,09/02/2015 11:20:41 AM,10/02/2015 11:20:41 AM,11/17/2015 04:29:13 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-11-17 16:29:13.81 VIOCOR: Violation Corrected,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,36 Calumet St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1003.0,R3,36 Calumet St,2120.0,Address,24978.0,42.3327,-71.1052,Constituent Call,"(42.3327, -71.1052)"
622689,101001547965,09/02/2015 11:45:48 AM,10/02/2015 11:45:48 AM,11/17/2015 03:40:50 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-11-17 15:40:50.16 VIOCOR: Violation Corrected,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,41 Calumet St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1003.0,R4,41 Calumet St,2120.0,Address,24983.0,42.3326,-71.1058,Constituent Call,"(42.3326, -71.1058)"
622898,101001548250,09/02/2015 02:54:51 PM,10/02/2015 02:54:51 PM,09/22/2015 12:04:31 PM,ONTIME,Closed,Case Closed. Closed date : 2015-09-22 12:04:31.347 VIOCOR: Violation Corrected,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,23 Hillside St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1005.0,R3,23 Hillside St,2120.0,Address,74228.0,42.3297,-71.0998,Constituent Call,"(42.3297, -71.0998)"
622907,101001548262,09/02/2015 03:04:25 PM,10/02/2015 03:04:25 PM,,OVERDUE,Open,,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,75 Pontiac St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1003.0,R3,75 Pontiac St,2120.0,Address,111736.0,42.3306,-71.1023,Constituent Call,"(42.3306, -71.1023)"
622908,101001548263,09/02/2015 03:05:53 PM,10/02/2015 03:05:53 PM,10/26/2015 11:37:16 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-26 11:37:16.967 VIOCOR: Violation Corrected,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,892 E Second St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,607.0,R1,892 E Second St,2127.0,Address,124525.0,42.3376,-71.0276,Constituent Call,"(42.3376, -71.0276)"
622911,101001548266,09/02/2015 03:07:06 PM,10/02/2015 03:07:06 PM,,OVERDUE,Open,,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,890 E Second St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,607.0,R1,890 E Second St,2127.0,Address,124524.0,42.3376,-71.0277,Constituent Call,"(42.3376, -71.0277)"
623695,101001549348,09/03/2015 01:05:00 PM,10/03/2015 01:05:31 PM,09/17/2015 11:16:58 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-17 11:16:58.807 ADCLSD: Administratively Closed,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,799 Blue Hill Ave  Dorchester  MA  02124,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1409.0,R2,799 Blue Hill Ave,2124.0,Address,16551.0,42.2973,-71.0875,Constituent Call,"(42.2973, -71.0875)"
624109,101001569915,09/04/2015 08:29:05 AM,10/04/2015 08:29:05 AM,09/24/2015 08:52:25 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-24 08:52:25.03 VIOCOR: Violation Corrected,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,1626 Commonwealth Ave  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2112.0,A,1626 Commonwealth Ave,2135.0,Address,38100.0,42.343,-71.1428,Constituent Call,"(42.343, -71.1428)"
