,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
572116,101001397786,05/29/2015 09:36:05 AM,05/28/2016 09:36:05 AM,05/29/2015 09:36:07 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-29 09:36:07.32 Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 06: West Roxbury and Roslindale,PWDx,,,4198-4206 Washington St  Roslindale  MA  02131,12.0,06,5.0,E5,Roslindale,10.0,Ward 19,1913.0,C,4198-4206 Washington St,2131.0,Address,145150.0,42.2868,-71.1274,Employee Generated,"(42.2868, -71.1274)"
572144,101001397815,05/29/2015 09:41:08 AM,05/28/2016 09:41:08 AM,05/29/2015 09:41:09 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-29 09:41:09.843 Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,33 Pershing Rd  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1903.0,R3,33 Pershing Rd,2130.0,Address,109617.0,42.3192,-71.1137,Employee Generated,"(42.3192, -71.1137)"
572145,101001397816,05/29/2015 09:41:28 AM,05/28/2016 09:41:28 AM,05/29/2015 09:41:30 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-29 09:41:30.687 Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,29 Pershing Rd  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1903.0,CM,29 Pershing Rd,2130.0,Address,109614.0,42.3192,-71.1135,Employee Generated,"(42.3192, -71.1135)"
572146,101001397818,05/29/2015 09:41:42 AM,05/28/2016 09:41:42 AM,05/29/2015 09:41:43 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-29 09:41:43.777 Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,29 Pershing Rd  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1903.0,CD,29 Pershing Rd,2130.0,Address,109615.0,42.3192,-71.1135,Employee Generated,"(42.3192, -71.1135)"
572147,101001397819,05/29/2015 09:41:58 AM,05/28/2016 09:41:58 AM,05/29/2015 09:42:00 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-29 09:42:00.573 Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,29 Pershing Rd  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1903.0,CM,29 Pershing Rd,2130.0,Address,109614.0,42.3192,-71.1135,Employee Generated,"(42.3192, -71.1135)"
572150,101001397820,05/29/2015 09:42:15 AM,05/28/2016 09:42:15 AM,05/29/2015 09:42:17 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-29 09:42:17.293 Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,15-17 Pershing Rd  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1903.0,CM,15-17 Pershing Rd,2130.0,Address,109607.0,42.3192,-71.1129,Employee Generated,"(42.3192, -71.1129)"
572151,101001397821,05/29/2015 09:42:30 AM,05/28/2016 09:42:30 AM,05/29/2015 09:42:31 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-29 09:42:31.73 Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,15-17 Pershing Rd  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1903.0,CM,15-17 Pershing Rd,2130.0,Address,109607.0,42.3192,-71.1129,Employee Generated,"(42.3192, -71.1129)"
572152,101001397823,05/29/2015 09:42:57 AM,05/28/2016 09:42:57 AM,05/29/2015 09:42:58 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-29 09:42:58.903 Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,INTERSECTION of Centre St & Pershing Rd  Jamaica Plain  MA,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1903.0,,INTERSECTION Centre St & Pershing Rd,,Intersection,2687.0,42.3188,-71.1121,Employee Generated,"(42.3188, -71.1121)"
572157,101001397828,05/29/2015 09:43:41 AM,05/28/2016 09:43:41 AM,05/29/2015 09:43:43 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-29 09:43:43.45 Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,500 Amory St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,11,1107.0,CL,500 Amory St,2130.0,Address,340457.0,42.3095,-71.1075,Employee Generated,"(42.3095, -71.1075)"
572158,101001397830,05/29/2015 09:43:56 AM,05/28/2016 09:43:56 AM,05/29/2015 09:43:58 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-29 09:43:58.287 Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,500 Amory St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,11,1107.0,CL,500 Amory St,2130.0,Address,340457.0,42.3095,-71.1075,Employee Generated,"(42.3095, -71.1075)"
572159,101001397831,05/29/2015 09:44:08 AM,05/28/2016 09:44:08 AM,05/29/2015 09:44:09 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-29 09:44:09.983 Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,500 Amory St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,11,1107.0,CL,500 Amory St,2130.0,Address,340457.0,42.3095,-71.1075,Employee Generated,"(42.3095, -71.1075)"
